41268,,,ALT,,LAT DIST,LONG DIST,DIST
45822,11.0264789494,2.9333333333,44,,58.1576000001,154.8351449674,165.397184241
45837,11.3026445917,3.0666666667,46,,70.5007999998,154.1860451598,169.5396688762
45852,12.4541176608,4.0666666667,61,,83.4000000004,167.1618243176,186.8117649113
45867,11.5442214609,4.6,69,,84.512,151.1398620877,173.1633219128
45882,12.5094879587,4.7333333333,71,,128.8807999993,136.3795417732,187.6423193811
45897,11.5763374926,4.2666666667,64,,80.8424000005,153.6786063654,173.6450623895
45912,11.4112544862,3.2,48,,83.6223999998,149.3521283141,171.1688172936
45927,11.0745309022,2.8666666667,43,,86.2912000002,141.9471965593,166.1179635335
45942,11.3692702628,3,45,,81.8431999996,149.6170429233,170.5390539415
45957,11.8608120871,2.8666666667,43,,81.8432000004,157.9697277035,177.9121813059
45972,12.88178733,2.9333333333,44,,92.5183999995,169.6376896356,193.2268099498
45987,12.1096665035,3.5333333333,53,,65.7192,169.3395756673,181.6449975524
46002,13.0587382108,3.6,54,,90.1832000007,173.8861272814,195.8810731625
46017,12.2203916129,4.3333333333,65,,56.7119999998,174.3123419898,183.3058741938
46032,11.5144468681,4.6666666667,70,,49.5951999996,165.4429679371,172.7167030222
46047,9.8748776962,4.2,63,,17.6808000004,147.0641406066,148.1231654436
46062,10.8030412475,4.8,72,,4.8927999995,161.9717353491,162.0456187122
46077,10.7358673611,4.6666666667,70,,54.7104000001,151.4596082488,161.038010417
46092,9.4246490854,4.9333333333,74,,37.4744000002,136.3124047202,141.3697362803
46107,8.6014236236,4.4666666667,67,,1.6679999997,129.0105718746,129.0213543543
46122,8.3441032546,4.4666666667,67,,0.1112000005,125.1614994207,125.1615488186
46137,9.0237356733,4.2666666667,64,,-18.0144000003,134.1519199661,135.3560350999
46152,10.7680578829,5.0666666667,76,,14.0112000002,160.9120168064,161.5208682435
46167,10.5536924029,4.8666666667,73,,33.0263999996,154.8220015159,158.3053860433
46182,9.4481163409,4.6,69,,30.9136000002,138.3090827564,141.7217451131
46197,11.3164702016,4.6666666667,70,,11.1200000004,169.3824300525,169.7470530244
46212,9.9579131019,4.8666666667,73,,-16.4576000003,148.4592701878,149.368696528
46227,10.0334230613,4.7333333333,71,,22.9071999998,148.7478245609,150.501345919
46242,10.8204074708,4.5333333333,68,,-9.8967999995,162.0040967459,162.306112062
46257,10.4676354938,5,75,,-24.2416000004,155.1319058628,157.0145324077
46272,10.301157911,4.7333333333,71,,5.5600000002,154.4173034963,154.5173686647
46287,9.8867114261,4.5333333333,68,,-27.9111999999,145.6504515954,148.3006713922
46302,11.2436529451,4.7333333333,71,,-8.1176,168.4593249692,168.6547941769
46317,9.6987208888,5.1333333333,77,,-11.7872000003,145.0025136475,145.4808133327
